SITE,STAGE,TRANSECT_POINT,NORTHING,EASTING,ENVIRON,DIST_FPL,LOCATION,CAT_Z,CLASS_Z,ACTUAL_Z,FP_Z,DATE,D13C_CH4,D13C_CO2,WATER_T,KH_O2,DT_DZ,WATER_TK,COND,PH,WIND_ONSITE,ORP,REDOX_ORP,CHL,O2_PERCENT,O2,DO2_DZ,DIC,PCO2,DPCO2_DZ,PCH4,DPCH4_DZ,PN2O,KH_PCO2,KH_PCH4,KH_PN2O,D13C_DIC,D18O_O2,O2_Ar,MOX,MPROD,MCARB,INUN_T
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,1,Surface,0.1,5.5,10/4/15 0:00,-58.881,-35.726,29.88,1.18078,0,303.03,0.013,6.76,0.5,126.9,Sulfate reduction,3.4,48.5,3.68,-0.029269294,NA,12019.229,-615.5186744,8.18,-0.690048169,NA,0.029886441,0.001305,0.021186302,-15.68,25.87,10.82,-1.34,-1.34,-1,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,1,Surface,0.1,5.5,10/4/15 0:00,-86.918,-35.484,29.88,1.18078,0,303.03,0.013,6.76,0.5,126.9,Sulfate reduction,3.4,48.5,3.68,-0.029269294,NA,12196.806,-615.5186744,7.8,-0.690048169,NA,0.029886441,0.001305,0.021186302,-14.99,26.1,10.88,-1.87,-1.87,-1.4,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,1,Surface,0.1,5.5,10/4/15 0:00,-93.287,-34.839,29.88,1.18078,0,303.03,0.013,6.76,0.5,126.9,Sulfate reduction,3.4,48.5,3.68,-0.029269294,NA,11910.753,-615.5186744,NA,-0.690048169,NA,0.029886441,0.001305,0.021186302,-15.11,25.78,10.94,-1.89,-1.89,-1.42,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,2,NA,1,5.5,10/4/15 0:00,-109.089,-37.309,29.88,1.18078,0,303.03,0.013,6.87,0.5,115.4,Sulfate reduction,3.2,48.7,3.68,-0.029269294,NA,NA,-615.5186744,NA,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,2,NA,1,5.5,10/4/15 0:00,-51.673,-37.344,29.88,1.18078,0,303.03,0.013,6.87,0.5,115.4,Sulfate reduction,3.2,48.7,3.68,-0.029269294,NA,12424.324,-615.5186744,11.71,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,2,NA,1,5.5,10/4/15 0:00,-111.857,-37.242,29.88,1.18078,0,303.03,0.013,6.87,0.5,115.4,Sulfate reduction,3.2,48.7,3.68,-0.029269294,NA,12354.016,-615.5186744,8.29,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,2,NA,1,5.5,10/4/15 0:00,-47.222,-50.774,29.88,1.18078,0,303.03,0.013,6.87,0.5,115.4,Sulfate reduction,3.2,48.7,3.68,-0.029269294,NA,11573.294,-615.5186744,8.57,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,3,NA,2,5.5,10/4/15 0:00,-91.458,-34.483,29.88,1.18078,0,303.03,0.013,6.9,0.5,113.1,Sulfate reduction,2.5,48.6,3.68,-0.029269294,NA,9958.565,-615.5186744,0,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,3,NA,2,5.5,10/4/15 0:00,-96.375,-35.269,29.88,1.18078,0,303.03,0.013,6.9,0.5,113.1,Sulfate reduction,2.5,48.6,3.68,-0.029269294,NA,10502.081,-615.5186744,0,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,3,NA,2,5.5,10/4/15 0:00,-95.867,-35.302,29.88,1.18078,0,303.03,0.013,6.9,0.5,113.1,Sulfate reduction,2.5,48.6,3.68,-0.029269294,NA,10930.705,-615.5186744,0,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,4,NA,3,5.5,10/4/15 0:00,-102.188,-35.679,29.88,1.18078,0,303.03,0.013,6.91,0.5,113.6,Sulfate reduction,3.8,48,3.64,-0.029269294,NA,10819.503,-615.5186744,0,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,4,NA,3,5.5,10/4/15 0:00,-94.638,-34.204,29.88,1.18078,0,303.03,0.013,6.91,0.5,113.6,Sulfate reduction,3.8,48,3.64,-0.029269294,NA,10831.743,-615.5186744,0,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,4,NA,3,5.5,10/4/15 0:00,-100.386,-35.152,29.88,1.18078,0,303.03,0.013,6.91,0.5,113.6,Sulfate reduction,3.8,48,3.64,-0.029269294,NA,10627.75,-615.5186744,0,-0.690048169,NA,0.029886441,0.001305,0.021186302,NA,NA,NA,NA,NA,NA,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,5,Bottom,4.5,5.5,10/4/15 0:00,-65.787,-34.624,29.88,1.18078,0,303.03,0.013,6.9,0.5,111.2,Sulfate reduction,3.5,46.9,3.55,-0.029269294,NA,9198.502,-615.5186744,6.85,-0.690048169,NA,0.029886441,0.001305,0.021186302,-15.51,26.61,11.04,-3.72,-3.72,-2.78,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,5,Bottom,4.5,5.5,10/4/15 0:00,-78.234,-34.508,29.88,1.18078,0,303.03,0.013,6.9,0.5,111.2,Sulfate reduction,3.5,46.9,3.55,-0.029269294,NA,9487.946,-615.5186744,7.19,-0.690048169,NA,0.029886441,0.001305,0.021186302,-15.01,26.17,11.07,-5.02,-5.02,-3.76,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,5,Bottom,4.5,5.5,10/4/15 0:00,-89.624,-34.633,29.88,1.18078,0,303.03,0.013,6.9,0.5,111.2,Sulfate reduction,3.5,46.9,3.55,-0.029269294,NA,9584.218,-615.5186744,8.02,-0.690048169,NA,0.029886441,0.001305,0.021186302,-16.09,26.76,10.66,-3.45,-3.45,-2.59,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,6,Sediment,5.5,5.5,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,3.93,2.95,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,6,Sediment,5.5,5.5,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,5.1,3.82,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,6,Sediment,5.5,5.5,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,3.59,2.69,365
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,1,Surface,0.1,4,10/4/15 0:00,-14.181,-30.402,30.31,1.18078,-0.278803172,303.46,0.01,7.34,1.5,136,Sulfate reduction,7.5,40,3,-0.875666907,NA,4067.626,1462.430994,207.81,7561.995302,NA,0.029568249,0.001296,0.020946153,-16.56,24.78,3.94,-20.64,-20.64,-15.45,310
