"","f1","f2","f3","f4","f5","f6","f7","f8"
"1",0,0,0,0,0,0,0,1
"2",0,0,0,0,0,0,0.05,0.95
"3",0,0,0,0,0,0,0.1,0.9
"4",0,0,0,0,0,0,0.15,0.85
"5",0,0,0,0,0,0,0.2,0.8
"6",0,0,0,0,0,0,0.25,0.75
"7",0,0,0,0,0,0,0.3,0.7
"8",0,0,0,0,0,0,0.35,0.65
"9",0,0,0,0,0,0,0.4,0.6
"10",0,0,0,0,0,0,0.45,0.55
"11",0,0,0,0,0,0,0.5,0.5
"12",0,0,0,0,0,0.05,0.05,0.9
"13",0,0,0,0,0,0.05,0.1,0.85
"14",0,0,0,0,0,0.05,0.15,0.8
"15",0,0,0,0,0,0.05,0.2,0.75
"16",0,0,0,0,0,0.05,0.25,0.7
"17",0,0,0,0,0,0.05,0.3,0.65
"18",0,0,0,0,0,0.05,0.35,0.6
"19",0,0,0,0,0,0.05,0.4,0.55
"20",0,0,0,0,0,0.05,0.45,0.5
"21",0,0,0,0,0,0.1,0.1,0.8
"22",0,0,0,0,0,0.1,0.15,0.75
"23",0,0,0,0,0,0.1,0.2,0.7
"24",0,0,0,0,0,0.1,0.25,0.65
"25",0,0,0,0,0,0.1,0.3,0.6
"26",0,0,0,0,0,0.1,0.35,0.55
"27",0,0,0,0,0,0.1,0.4,0.5
"28",0,0,0,0,0,0.1,0.45,0.45
"29",0,0,0,0,0,0.15,0.15,0.7
"30",0,0,0,0,0,0.15,0.2,0.65
"31",0,0,0,0,0,0.15,0.25,0.6
"32",0,0,0,0,0,0.15,0.3,0.55
"33",0,0,0,0,0,0.15,0.35,0.5
"34",0,0,0,0,0,0.15,0.4,0.45
"35",0,0,0,0,0,0.2,0.2,0.6
"36",0,0,0,0,0,0.2,0.25,0.55
"37",0,0,0,0,0,0.2,0.3,0.5
"38",0,0,0,0,0,0.2,0.35,0.45
"39",0,0,0,0,0,0.2,0.4,0.4
"40",0,0,0,0,0,0.25,0.25,0.5
"41",0,0,0,0,0,0.25,0.3,0.45
"42",0,0,0,0,0,0.25,0.35,0.4
"43",0,0,0,0,0,0.3,0.3,0.4
"44",0,0,0,0,0.05,0.05,0.05,0.85
"45",0,0,0,0,0.05,0.05,0.1,0.8
"46",0,0,0,0,0.05,0.05,0.15,0.75
"47",0,0,0,0,0.05,0.05,0.2,0.7
"48",0,0,0,0,0.05,0.05,0.25,0.65
"49",0,0,0,0,0.05,0.05,0.3,0.6
"50",0,0,0,0,0.05,0.05,0.35,0.55
"51",0,0,0,0,0.05,0.05,0.4,0.5
"52",0,0,0,0,0.05,0.05,0.45,0.45
"53",0,0,0,0,0.05,0.1,0.1,0.75
"54",0,0,0,0,0.05,0.1,0.15,0.7
"55",0,0,0,0,0.05,0.1,0.2,0.65
"56",0,0,0,0,0.05,0.1,0.25,0.6
"57",0,0,0,0,0.05,0.1,0.3,0.55
"58",0,0,0,0,0.05,0.1,0.35,0.5
"59",0,0,0,0,0.05,0.1,0.4,0.45
"60",0,0,0,0,0.05,0.15,0.15,0.65
"61",0,0,0,0,0.05,0.15,0.2,0.6
"62",0,0,0,0,0.05,0.15,0.25,0.55
"63",0,0,0,0,0.05,0.15,0.3,0.5
"64",0,0,0,0,0.05,0.15,0.35,0.45
"65",0,0,0,0,0.05,0.15,0.4,0.4
"66",0,0,0,0,0.05,0.2,0.2,0.55
"67",0,0,0,0,0.05,0.2,0.25,0.5
