DATE_jul,DIST,RATIO,GPP,R,NEP,NEP_orig,SITE,DESCRIP,STAGE,DATE,INUN_T
42401,-1.9,-0.30766271,1.196188,-3.887985,-2.691797,-5.084173,AnRe,Open,Falling,2/1/16,365
42583,-1.9,-0.996945042,1.417933,-1.422278,-0.004345,-0.004345,AnRe,Open,Rising,8/1/16,365
42278,0,-0.366449359,5.534149,-15.102084,-9.567935,-9.567935,AnRe,Edge,High,10/1/15,310
42339,0,-0.007643939,0.069125,-9.043112,-8.973987,-9.112237,AnRe,Edge,Falling,12/1/15,310
42401,0,-0.342072453,2.593867,-7.5828,-4.988933,-4.988933,AnRe,Edge,Falling,2/1/16,310
42583,0,-1.103408688,6.144499,-5.568652,0.575847,0.575847,AnRe,Edge,Rising,8/1/16,310
42278,2,-0.064668355,1.299849,-20.100233,-18.800384,-21.400081,AnRe,Forest,High,10/1/15,166
42339,2,-0.116790683,3.262103,-27.931192,-24.669089,-24.669089,AnRe,Forest,Falling,12/1/15,166
42401,-0.4,-1.031904982,10.862969,-10.527102,0.335867,0.335867,KaPr,Open,Falling,2/1/16,327
42278,-0.4,-0.239081032,1.400579,-5.858177,-4.457598,-7.258756,KaPr,Open,High,10/1/15,327
42278,0,-0.374679573,2.144522,-5.723616,-3.579094,-3.579094,KaPr,Edge,High,10/1/15,307
42401,0,-0.355682278,2.104773,-5.917565,-3.812792,-3.812792,KaPr,Edge,Falling,2/1/16,307
42583,0,-0.448212218,0.611478,-1.36426,-0.752781,-1.975738,KaPr,Edge,Rising,8/1/16,307
42278,2,-0.472180519,5.239078,-11.095498,-5.85642,-5.85642,KaPr,Forest,High,10/1/15,170
42583,2,-0.097914965,1.078094,-11.010513,-9.932419,-12.088607,KaPr,Forest,Rising,8/1/16,170
42401,-2.7,-0.796132607,3.764314,-4.72825,-0.963936,-0.963936,PrKo,Open,Falling,2/1/16,349
42614,-2.7,-0.496046666,3.503214,-7.062267,-3.559053,-3.559053,PrKo,Open,Rising,9/1/16,349
42401,0,-0.211053114,0.394751,-1.870387,-1.475636,-1.475636,PrKo,Edge,Falling,2/1/16,286
42614,0,-0.512213421,6.207852,-12.119659,-5.911807,-5.911807,PrKo,Edge,Rising,9/1/16,286
42309,1.6,-0.04716251,1.057889,-22.430719,-21.37283,-21.37283,PrKo,Forest,High,11/1/15,128
42614,1.6,-0.020535671,0.335512,-16.33801,-16.002499,-16.002499,PrKo,Forest,Rising,9/1/16,128
